,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
0,GIIADE,1,,1,FP,Fundamentos de Programación,"Miercoles, 11 de Enero"
1,GIIADE,1,,1,TOC,Tecnología y Organización de Computadores,"Miercoles, 25 de Enero"
2,GIIADE,1,,1,FFT,Fundamentos Físicos y Tecnológicos,"Martes, 17 de Enero"
3,GIIADE,1,,1,CA,Cálculo,"Jueves, 19 de Enero"
4,GIIADE,2,,1,EC,Estructura de computadores,"Lunes, 23 de Enero"
5,GIIADE,2,,1,ED,Estructura de Datos,"Miercoles, 25 de Enero"
6,GIIADE,2,,1,SO,Sistemas Operativos,"Miercoles, 11 de Enero"
7,GIIADE,3,,1,FR,Fundamentos de Redes,"Viernes, 13 de Enero"
8,GIIADE,3,,1,PDOO,Programación y Diseño Orientado a Objetos,"Viernes, 20 de Enero"
9,GIIADE,3,,1,SCD,Sistemas Concurrentes y Distribuidos,"Miercoles, 18 de Enero"
10,GIIADE,4,,1,MC,Modelos de Computación,"Lunes, 16 de Enero"
11,GIIADE,4,,1,DDSI,Diseño y Desarrollo de Sistemas de Información,"Viernes, 20 de Enero"
12,GIIADE,4,,1,IG,Informática Gráfica,"Martes, 24 de Enero"
13,GIIADE,1,,1,FP,Fundamentos de Programación,"Martes, 7 de Febrero"
14,GIIADE,1,,1,TOC,Tecnología y Organización de Computadores,"Jueves, 16 de Febrero"
15,GIIADE,1,,1,FFT,Fundamentos Físicos y Tecnológicos,"Lunes, 13 de Febrero"
16,GIIADE,1,,1,CA,Cálculo,"Miercoles, 15 de Febrero"
17,GIIADE,2,,1,EC,Estructura de computadores,"Lunes, 13 de Febrero"
18,GIIADE,2,,1,ED,Estructura de Datos,"Viernes, 17 de Febrero"
19,GIIADE,2,,1,SO,Sistemas Operativos,"Miercoles, 8 de Febrero"
20,GIIADE,3,,1,PDOO,Programación y Diseño Orientado a Objetos,"Martes, 14 de Febrero"
21,GIIADE,3,,1,FR,Fundamentos de Redes,"Martes, 7 de Febrero"
22,GIIADE,3,,1,SCD,Sistemas Concurrentes y Distribuidos,"Viernes, 10 de Febrero"
23,GIIADE,4,,1,MC,Modelos de Computación,"Miercoles, 8 de Febrero"
24,GIIADE,4,,1,DDSI,Diseño y Desarrollo de Sistemas de Información,"Martes, 14 de Febrero"
25,GIIADE,4,,1,IG,Informática Gráfica,"Miercoles, 15 de Febrero"
26,GIIADE,1,,2,MP,Metodología de la Programación,"Viernes, 23 de Junio"
27,GIIADE,1,,2,ALEM,Algebra Lineal y Estructuras Matemáticas,"Martes, 20 de Junio"
28,GIIADE,1,,2,FS,Fundamentos del Software,"Lunes, 12 de Junio"
29,GIIADE,2,,2,ALG,Algorítmica,"Miercoles, 14 de Junio"
30,GIIADE,2,,2,AC,Arquitectura de Computadores,"Viernes, 16 de Junio"
31,GIIADE,2,,2,LMD,Lógica y Métodos Discretos,"Lunes, 19 de Junio"
32,GIIADE,3,,2,FBD,Fundamentos de Bases de Datos,"Viernes, 23 de Junio"
33,GIIADE,3,,2,ISE,Ingeniería de Servidores,"Miercoles, 14 de Junio"
34,GIIADE,3,,2,FIS,Fundamentos de Ingeniería del Software,"Lunes, 12 de Junio"
35,GIIADE,3,,2,IA,Inteligencia Artificial,"Martes, 20 de Junio"
